,Smiles,MW,LogP,NumHDonors,NumHAcceptors
181,CC(=O)c1ccc2c(c1)N(Cc1ccc(C(=O)NCc3ccccn3)cc1)C(=O)CO2,415.4490000000001,3.139800000000001,1,5
182,Cc1cccc2c(/C=N/c3sc4c(c3C#N)CCCCCC4)c[nH]c12,347.48700000000014,5.819100000000004,1,3
183,N[C@@H]1CCCN([C@H]2Cc3c(Cl)cc(Cl)cc3[C@@H]2Oc2ccc(-n3ccnc3)cc2)C1,443.3780000000002,4.647000000000004,1,5
184,Oc1ccc2nc(Cl)n(-c3ccccc3C(F)(F)F)c2n1,313.66600000000005,3.798300000000001,1,4
185,Nc1c(I)ccc2c1C(=O)C=CC2=O,299.06700000000006,1.8086,1,3
186,CCCCCCNc1nc(N)nc(C)c1I,334.205,2.9640200000000005,2,4
187,CN(C)c1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,328.43700000000007,4.348480000000003,1,4
188,O=C(Nc1ccc(Br)cc1)c1nc2cc(Cl)ccc2s1,367.65500000000003,4.964500000000001,1,3
189,CN1CCN([C@H]2CC[C@H](Nc3cc(-c4cccc(NCc5cccc(F)c5)n4)c(Cl)cn3)CC2)CC1,509.07300000000026,5.518700000000005,2,6
190,FC(F)(F)c1ccc(Nc2cc(-c3ccccc3)on2)cc1,304.271,5.104000000000003,1,3
191,COc1ccc(Cl)cc1N1C(=O)CC(Sc2ccccc2N)C1=O,362.8380000000001,3.3550000000000013,1,5
192,O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(N3CCCC3)n2)c1,392.8900000000002,5.646200000000004,2,3
193,CCCCCCNC(=O)CSc1nccn1Cc1ccccc1,331.485,3.7200000000000024,1,4
194,Cc1cccc(-c2nc(CCC(=O)O)oc2-c2ccccc2)c1,307.349,4.334220000000003,1,3
195,O=C(N[C@H]1CCCc2ccccc21)c1ccc2c(c1)OCO2,295.3380000000001,3.2227000000000023,1,3
196,COc1ccc(C2(c3ccc(OC)cc3)NC(=O)N(CC(=O)Nc3ccc(C(=O)N(C)C)cc3)C2=O)cc1,516.5540000000003,2.8397000000000014,2,6
